wkt_geom;Comune;Attributo;IdSensore;Quota;UTM Nord;UTM Est
Point (477613 5055150);Somma Lombardo;-9999;5941;210;5055150;477613
Point (491501 5076955);Arcisate;-9999;8168;383;5076955;491501
Point (471939 5084222);Laveno-Mombello;Poggio S.Elsa;8584;950;5084222;471939
Point (482122 5102054);Veddasca;Monte Cadrigna;14645;1302;5102054;482122
