wkt_geom;NomeReteVi;Comune;Attributo;IdSensore;Quota;UTM Nord;UTM Est
Point (553620 5062715);Rete Aria;Bergamo;v.Goisis;5864;290;5062715;553620
Point (553689 5093546);IdroNivoMeteo;Piazzatorre;-9999;14242;966;5093546;553689
Point (557587 5093991);Rete Centro Monitoraggio Geologico Sondrio;Branzi;Il Pizzo;1401;1600;5093991;557587
Point (566799 5097126);IdroNivoMeteo;Carona;Lago Fregabolgia;115;1955;5097126;566799
