wkt_geom;Comune;Attributo;IdSensore;Quota;UTM Nord;UTM Est
Point (604113 5137647);Valdisotto;Arginone;133;1050;5137647;604113
Point (605400 5146642);Bormio;Ponte sul Frodolfo;13;1250;5146642;605400
Point (612334 5144339);Valfurva;Ruinon - RTU 206;83;2140;5144339;612334
Point (591251 5147768);Livigno;La Vallaccia;8027;2660;5147768;591251
