wkt_geom;NomeReteVi;Comune;Attributo;IdSensore;Quota;UTM Nord;UTM Est
Point (532896 5120370);IdroNivoMeteo;Samolaco;v.Vignola;2110;206;5120370;532896
Point (528106 5130392);Rete Centro Monitoraggio Geologico Sondrio;San Giacomo Filippo;Val Genasca;1429;840;5130392;528106
Point (526127 5126494);IdroNivoMeteo;Gordona;-9999;14684;1362;5126494;526127
Point (524616 5134157);IdroNivoMeteo;San Giacomo Filippo;Lago Truzzo;9011;2064;5134157;524616
