wkt_geom;Comune;Attributo;IdSensore;Quota;UTM Nord;UTM Est
Point (517630 4987916);Broni;-9999;17432;77;4987916;517630
Point (484923 4996463);Lacchiarella;-9999;5910;97;5019010;510543
Point (511082 5035847);Cinisello Balsamo;Parco Nord;4058;142;5043257;516051
Point (519436 5037597);Trezzo sull'Adda;-9999;5919;199;5051253;539618
