wkt_geom;Comune;Attributo;IdSensore;Quota;UTM Nord;UTM Est
Point (517168 4947846);Santa Margherita di Staffora;Passo del Giov�;8005;1363;4947846;517168
Point (518916 4957210);Santa Margherita di Staffora;Casanova;8202;575;4957210;518916
Point (521751 4975743);Canevino;-9999;9019;455;4975743;521751
