wkt_geom;NomeReteVi;Comune;Attributo;IdSensore;Quota;UTM Nord;UTM Est
Point (680433 4987208);IdroNivoMeteo;Sermide;SP 91;8223;10;4987208;680433
Point (544065 5013079);IdroNivoMeteo;Cavenago d'Adda;-9999;2327;67;5013079;544065
Point (598502 5042175);IdroNivoMeteo;Brescia;ITAS Pastori;2414;149;5042175;598502
Point (617051 5048460);IdroNivoMeteo;Puegnago sul Garda;-9999;14546;291;5048460;617051
