wkt_geom;NomeReteVi;Comune;Attributo;IdSensore;Quota;UTM Nord;UTM Est
Point (592468 5057824);IdroNivoMeteo;Sarezzo;v.della Fonte;14665;290;5057824;592468
Point (603395 5057931);IdroNivoMeteo;Bione;-9999;14399;911;5057931;603395
Point (600885 5122690);IdroNivoMeteo;Monno;-9999;9014;1728;5122690;600885
Point (611798 5090337);IdroNivoMeteo;Breno;Lago Della Vacca;14348;2410;5090337;611798
